vehicle_id,camera_id,count,mean,std,p0013,p02,p05,p10
51,S01c003,741,0.9103221297264099,0.05742046236991882,0.7037526813745498,0.7519841313362121,0.7987067699432373,0.8331546783447266
51,S01c001,120,0.9055060744285583,0.04077515751123428,0.8018865766108036,0.8325379014015197,0.8375308334827423,0.8538951635360718
51,S01c002,210,0.902877926826477,0.06808947026729584,0.6841147629320622,0.7053464496135712,0.7335362195968628,0.8217714488506317
51,S01c004,325,0.9244224429130554,0.05035541579127312,0.6883787167787552,0.7685448145866394,0.824418580532074,0.8656200766563416
50,S01c003,561,0.8551282286643982,0.09585496038198471,0.61756667470932,0.6502404808998108,0.6823825836181641,0.7046067118644714
50,S01c001,120,0.9268380999565125,0.03557372838258743,0.836185338807106,0.8461962163448333,0.8623866021633149,0.8705979585647583
50,S01c002,105,0.9352259039878845,0.03071337752044201,0.837189159154892,0.8688288712501526,0.8797485113143921,0.8912738204002381
50,S01c004,406,0.8726223111152649,0.07633039355278015,0.6047655668258667,0.6780885100364685,0.7153876572847366,0.7645341455936432
56,S01c003,78,0.9226369857788086,0.032959770411252975,0.8249366271436215,0.8481556892395019,0.8687528282403946,0.8827121376991272
56,S01c001,10,0.9480017423629761,0.01889609731733799,0.9150259599745274,0.9168189132213592,0.919695308804512,0.9244893014430999
56,S01c002,45,0.8985474705696106,0.06504585593938828,0.7570241322040557,0.7727524209022522,0.7827383160591126,0.8038177371025086
56,S01c004,78,0.9183788895606995,0.05552435293793678,0.7603963067114353,0.7735019218921662,0.7981785416603089,0.8358299255371093
57,S01c003,136,0.9244264960289001,0.04197055473923683,0.78934230068326,0.7948404133319855,0.8398662507534027,0.8714804947376251
57,S01c001,91,0.9130932092666626,0.05396369844675064,0.7255514646172524,0.7700634360313415,0.8023054301738739,0.8376556038856506
57,S01c002,15,0.9090362191200256,0.05278412625193596,0.7659941758871078,0.7889780068397522,0.8258504629135132,0.8538382649421692
57,S01c004,406,0.8754401803016663,0.09694243967533112,0.5272795881032943,0.6115235030651093,0.684458389878273,0.7336118817329407
58,S01c003,28,0.913906991481781,0.04111670330166817,0.7977118772506714,0.814212749004364,0.8357639998197556,0.8493388533592224
58,S01c001,55,0.8982087969779968,0.04405637085437775,0.8078767042279243,0.8342217469215393,0.8360947430133819,0.8379988074302673
58,S01c004,231,0.8961418271064758,0.06798291206359863,0.7026157450675964,0.7327356934547424,0.7531042098999023,0.7969649434089661
59,S01c003,78,0.9268373250961304,0.031519148498773575,0.846518553441763,0.8634904515743256,0.8672642081975936,0.8912353932857513
59,S01c001,45,0.9336758852005005,0.028069745749235153,0.8634034698009491,0.8673950552940368,0.8889286637306213,0.894905424118042
59,S01c002,3,0.9715495705604553,0.010154077783226967,0.958980475795269,0.9594645428657532,0.9602411210536956,0.9615354180335999
59,S01c004,276,0.8618670701980591,0.11978933960199356,0.44022945694625376,0.48508089780807495,0.5175417810678482,0.7776401937007904
60,S01c003,91,0.9237498044967651,0.040964581072330475,0.8002275130152703,0.8234308004379273,0.8488715291023254,0.8612996935844421
60,S01c001,15,0.9197024703025818,0.03146640211343765,0.8757336531877518,0.8758302450180053,0.8759852051734924,0.8786216497421264
60,S01c002,36,0.9360280632972717,0.022558674216270447,0.8883973907828331,0.8936334013938904,0.8972818851470947,0.9001647233963013
60,S01c004,91,0.9582905769348145,0.019732842221856117,0.9031716967225075,0.9157791852951049,0.9219235777854919,0.9300660490989685
